O'CONNOR,O'Connor Cooperative School,Black Mountain School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,,,
CHAPMAN,Chapman Primary School,,,,,,,,,,,,,,,,,,,,,,,
CONDER,Charles Conder Primary School,Lanyon High School,St Clare of Assisi Primary School,,,,,,,,,,,,,,,,,,,,,
DUFFY,Duffy Primary School,,,,,,,,,,,,,,,,,,,,,,,
FADDEN,Fadden Primary School,,,,,,,,,,,,,,,,,,,,,,,
GILMORE,Gilmore Primary School,,,,,,,,,,,,,,,,,,,,,,,
GORDON,Gordon Primary School,Covenant Christian School,Gordon East Public School,Ravenswood School for Girls,"Ravenswood School for Girls, Boarding House",,,,,,,,,,,,,,,,,,,
GOWRIE,Gowrie Primary School,Holy Family Primary School,,,,,,,,,,,,,,,,,,,,,,
GREENWAY,Lake Tuggeranong College,,,,,,,,,,,,,,,,,,,,,,,
MONASH,Monash Primary School,,,,,,,,,,,,,,,,,,,,,,,
RICHARDSON,Richardson Primary School,,,,,,,,,,,,,,,,,,,,,,,
KAMBAH,Taylor Primary School,St Thomas the Apostle Primary School,Communities@Work Galilee School,Namadgi School,,,,,,,,,,,,,,,,,,,,
THEODORE,Theodore Primary School,,,,,,,,,,,,,,,,,,,,,,,
HOLDER,St Jude's Primary School,Canberra Montessori School,,,,,,,,,,,,,,,,,,,,,,
PAGE,St Matthew's Primary School,,,,,,,,,,,,,,,,,,,,,,,
HACKETT,Blue Gum Community School,,,,,,,,,,,,,,,,,,,,,,,
GUNGAHLIN,Burgmann Anglican School,Gungahlin College,,,,,,,,,,,,,,,,,,,,,,
WESTON,Islamic School of Canberra,Orana Steiner School,Weston Public School,,,,,,,,,,,,,,,,,,,,,
BRUCE,Radford College,,,,,,,,,,,,,,,,,,,,,,,
BONNER,Neville Bonner Primary School,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN,Franklin Early Childhood School,,,,,,,,,,,,,,,,,,,,,,,
SPENCE,Taqwa School,,,,,,,,,,,,,,,,,,,,,,,
COOMBS,Charles Weston School,,,,,,,,,,,,,,,,,,,,,,,
JINDERA,Saint Mary MacKillop College Albury,Jindera Public School,St John's Lutheran Primary School,,,,,,,,,,,,,,,,,,,,,
ROCKDALE,St Dominic Savio School,Kyeemagh Infants School,"St Mary and St Mina's Coptic Orthodox College, Rockdale campus",Rockdale Public School,St Joseph's Catholic Primary School,,,,,,,,,,,,,,,,,,,
WAGGA WAGGA,Saint Mary MacKillop Colleges Limited,Shepherds Park School,Riverina Environmental Education Centre,Wagga Wagga Public School,North Wagga Public School,South Wagga Public School,Turvey Park Public School,Kooringal Public School,Ashmont Public School,Red Hill Public School,Sturt Public School,Willans Hill School,The Bidgee School,Wagga Wagga High School,Mount Austin High School,Mater Dei Primary School,Sacred Heart Primary School,Henschke Primary School,St Joseph's Primary School,Kildare Catholic College,Mater Dei Catholic College,Wagga Wagga Christian College,The Riverina Anglican College,Lutheran School Wagga Wagga
RIVERSTONE,Australian Christian College - Distance Education,Riverstone Public School,Casuarina School,Riverstone High School,St John's Primary School,Norwest Christian College,Australian Christian College: Marsden Park,,,,,,,,,,,,,,,,,
TERREY HILLS,Kinma School,Terrey Hills Public School,German International School Sydney,Sydney Japanese International School,Northern Beaches Christian School,Mosman Preparatory School Outdoor Education Centre,,,,,,,,,,,,,,,,,,
WAHROONGA,Knox Grammar School,Waitara Public School,Wahroonga Public School,Prouille Catholic Primary School,St Leo's Catholic College,St Edmund’s College,St Lucy's School,Abbotsleigh,Knox Grammar Preparatory School,"Tangara School for Girls, Retaval Infants School campus, Wahroonga",Wahroonga Adventist School,Abbotsleigh Junior School,Wahroonga Adventist School,Knox Grammar School - Wahroonga Preparatory Campus,,,,,,,,,,
BONDI JUNCTION,Moriah College,"WAYS Secondary, Bondi Junction Campus",SEDA College - Margaret Whitlam Recreation Centre Campus,,,,,,,,,,,,,,,,,,,,,
LISMORE,"St Carthage's Primary School, Our Lady of Lourdes campus",Caniaba Public School,Lismore Public School,Modanville Public School,Wyrallah Road Public School,Wilson Park School,"The Rivers Secondary College, Lismore High Campus",St Carthage's Primary School,St John's College,Trinity Catholic College Lismore,"Trinity Catholic College Lismore, St Joseph's Campus",,,,,,,,,,,,,
HAMILTON,St Francis Xavier's College,Hamilton Public School,Newcastle High School,,,,,,,,,,,,,,,,,,,,,
ABERMAIN,Holy Spirit Infants School,Abermain Public School,"Aspect Hunter School, Abermain Satellite",,,,,,,,,,,,,,,,,,,,,
COMO,St Joseph's Catholic Primary School Como - Oyster Bay,Como Public School,Como West Public School,,,,,,,,,,,,,,,,,,,,,
WILCANNIA,St Therese's Community Primary School,Wilcannia Central School,,,,,,,,,,,,,,,,,,,,,,
LINDFIELD,Highfields Preparatory and Kindergarten School,Lindfield Public School,Cromehurst School,Holy Family Catholic Primary School,Newington College - Lindfield Preparatory School,,,,,,,,,,,,,,,,,,,
EAGLE VALE,"Odyssey House, Progressive Learning Centre",Eagle Vale High School,Mary Immaculate Catholic Primary School,,,,,,,,,,,,,,,,,,,,,
BONVILLE,Coffs Harbour Christian Community School,Bonville Public School,,,,,,,,,,,,,,,,,,,,,,
CHERRYBROOK,Tangara School for Girls,Cherrybrook Public School,John Purchase Public School,Cherrybrook Technology High School,,,,,,,,,,,,,,,,,,,,
PORT MACQUARIE,Heritage Christian School,Newman Senior Technical College,Port Macquarie Public School,Westport Public School,Hastings Public School,Tacking Point Public School,North East Public School of Distance Education,"Hastings Secondary College, Port Macquarie Campus","Hastings Secondary College, Westport Campus",St Agnes' Primary School,St Joseph's Primary School,St Peter's Primary School,MacKillop College Port Macquarie,St Joseph's Regional College,St Columba Anglican School,Port Macquarie Adventist School,"Aspect Hunter School, Port Macquarie Primary Satellite","Aspect Hunter School, Port Macquarie High School Satellite",Nautilus Senior College,,,,,
KINGSFORD,St Spyridon College - Junior School Campus,,,,,,,,,,,,,,,,,,,,,,,
MOUNT DRUITT,Chifley College Senior Campus,Loyola Senior High School,Colyton Public School,Mount Druitt Public School,Chifley College Mount Druitt Campus,St Bishoy Coptic Orthodox College,Australian Islamic College of Sydney,Bethel Christian School,"St Bishoy Coptic Orthodox College, St Bishoy Hall",,,,,,,,,,,,,,,
MOREE,Moree Secondary College Albert St Campus,Moree Public School,Moree East Public School,Mallawa Public School,Barwon Learning Centre,St Philomena's School,Moree Christian School,,,,,,,,,,,,,,,,,
ST MARYS,St Marys Senior High School,St Marys Public School,Oxley Park Public School,St Marys South Public School,Colyton High School,Our Lady of the Rosary Primary School,St Mary's Flexible Learning Centre,,,,,,,,,,,,,,,,,
WOY WOY,Brisbane Water Secondary College Woy Woy Campus,Woy Woy South Public School,Woy Woy Public School,"Aspect Central Coast School, Woy Woy",,,,,,,,,,,,,,,,,,,,
GLEBE,Sydney Secondary College Blackwattle Bay Campus,Glebe Public School,St James Catholic Primary School,St Scholastica's College Glebe Point,Australian Performing Arts Grammar School,,,,,,,,,,,,,,,,,,,
CASULA,All Saints Catholic Senior College,Casula Public School,Casula High School,,,,,,,,,,,,,,,,,,,,,
BOWRAVILLE,Tallowood Steiner School,Bowraville Central School,St Mary's Primary School,,,,,,,,,,,,,,,,,,,,,
NEWTOWN,Australia Street Infants School,Camdenville Public School,Newtown North Public School,Newtown Public School,Newtown High School of Performing Arts,The Athena School,,,,,,,,,,,,,,,,,,
FIVE DOCK,Russell Lea Public School,Five Dock Public School,All Hallows Catholic Primary School,Domremy Catholic College,Rosebank College,,,,,,,,,,,,,,,,,,,
PETERSHAM,Taverners Hill Infants School,Petersham Public School,Fort Street High School,,,,,,,,,,,,,,,,,,,,,
FRESHWATER,Northern Beaches Secondary College Freshwater Senior Campus,Harbord Public School,St John the Baptist Catholic Primary School,,,,,,,,,,,,,,,,,,,,,
ASHFIELD,Yeo Park Infants School,Ashfield Public School,Ashfield Boys High School,St Vincent's Catholic Primary School,Bethlehem College,"De La Salle College, Ashfield",,,,,,,,,,,,,,,,,,
