FORTITUDE VALLEY,Music Industry College,Angelorum College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDBANK PLAINS,Staines Memorial College,Redbank Plains State School,Redbank Plains State High School,Fernbrooke State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON,Autism Queensland Education & Therapy Centre - Brighton Campus,Nashville State School,Brighton State School,St Kieran's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBROOK,Calvary Christian College - Carbrook Campus,Carbrook State School,Kimberley College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH ROCKHAMPTON,Emmaus College - Yaamba Road Campus,St Anthony's Catholic Primary School,St Joseph's Catholic Primary School,St Mary's Catholic Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMMOND ISLAND,Our Lady of the Sacred Heart School - Hammond Island Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARTERS TOWERS,Columba Catholic College - St Mary's Campus,Charters Towers Central State School,Charters Towers State High School,Columba Catholic College,All Souls St Gabriels School,Blackheath and Thornburgh College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAFFORD,Queen of Apostles Primary School - Chuter Street Campus,Stafford State School,Queen of Apostles Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON,Groves Christian College - Upper Primary Campus,Kingston State School,Kingston State College,The Centre Education Programme,Groves Christian College,YMCA Vocational School,Kingston Centre for Continuing Secondary Education,Groves Christian College - Distance,YMCA Vocational School - Kingston Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEERAGUN,St Anthony's Catholic College - Secondary Campus,Northern Beaches State High School,St Anthony's Catholic College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABOOLTURE,Grace Lutheran College - Caboolture Campus,Caboolture State School,Caboolture East State School,Tullawong State School,Caboolture State High School,Tullawong State High School,St Peter's Catholic Primary School,St Columban's College,Australian Christian College - Moreton,Caboolture Montessori School,St Michael's College,St Paul's Lutheran Primary School,Horizons College,Alta-1 College,Pumicestone State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD,The Springfield Anglican College,Woodcrest State College,The Springfield Anglican College - Primary Campus,Hymba Yumba Community Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING HILL,St Joseph's College - Waterford Place Campus,Brisbane Central State School,St James College,Arethusa College Spring Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERTON HILLS,Prince of Peace Lutheran College - Henderson Road Campus,Prince of Peace Lutheran College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARRARA,Australian International Islamic College - Carrara Campus,Emmanuel College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLORA,Allora P-10 State School,St Patrick's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALD HILLS,Bald Hills State School,St Paul's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEENLEIGH,Beenleigh State School,Beenleigh State High School,St Joseph's Tobruk Memorial School,Trinity College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YERONGA,Yeronga State School,Yeronga State High School,St Sebastian's Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOWEN,Bowen State School,Merinda State School,Queens Beach State School,Bowen State High School,St Mary's Catholic School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDSOR,Windsor State School,St Mary of the Cross School,Arethusa College Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKFIELD,Brookfield State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULIMBA,Bulimba State School,Sts Peter and Paul's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNDABERG CENTRAL,Bundaberg Central State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNDAMBA,Bundamba State School,Bundamba State Secondary College,YMCA Vocational School - Ipswich Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALLIOPE,Calliope State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLERMONT,Clermont State School,Clermont State High School,St Joseph's Catholic Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEVELAND,Cleveland State School,Cleveland District State High School,Star of the Sea Primary School,Australian Industry Trade College - Redlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORMISTON,Ormiston State School,Ormiston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDAMINE,Condamine State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIA RIDGE,Acacia Ridge State School,Watson Road State School,Our Lady of Fatima Primary School,Aboriginal & Islander Independent Community School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,Mitchell State School,St Patrick's Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALBY,Dalby State School,Dalby South State School,Dalby State High School,Our Lady of the Southern Cross College,Dalby Christian College,Dalby State High School - Bunya Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMSAY,Ramsay State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAYTON,Drayton State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOWONGA,Coowonga State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDRA,Hendra State School,Aviation High,Our Lady Help of Christians School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIGHT MILE PLAINS,Eight Mile Plains State School,Warrigal Road State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOGGERA,Enoggera State School,Our Lady of the Assumption School,Hillbrook Anglican School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIG TREE POCKET,Fig Tree Pocket State School,Brisbane Montessori School,The Glenleighden School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARYBOROUGH,Albert State School,Maryborough Central State School,Maryborough West State School,Sunbury State School,Aldridge State High School,Maryborough State High School,Maryborough Special School,St Mary's Primary School,St Mary's College,Riverside Christian College,Riverside Christian College - Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOONGOOLBA,Woongoolba State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREESTONE,Freestone State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATTON,Gatton State School,Lockyer District State High School,Our Lady of Good Counsel School,Peace Lutheran Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAYNDAH,Gayndah State School,Burnett State College,St Joseph's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUNDAH,Nundah State School,Northgate State School,St Joseph's School,Mary MacKillop College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLADSTONE CENTRAL,Gladstone Central State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOODNA,Goodna State School,Goodna Special School,St Francis Xavier's School,Westside Christian College - Alice St Campus,Westside Christian College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOONDIWINDI,Goondiwindi State School,Goondiwindi State High School,St Mary's School,Border Rivers Christian College,Border Rivers Christian College - Goondiwindi Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRACEMERE,Gracemere State School,Waraburra State School,St Paul's Catholic Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYMPIE,Gympie Central State School,One Mile State School,Gympie West State School,Gympie State High School,James Nash State High School,Gympie Special School,St Patrick's Primary School,St Patrick's College,Cooloola Christian College,Victory College,Gympie Flexible Learning Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILSTON,Gilston State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELIDON,Helidon State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHFIELDS,Highfields State School,Mary MacKillop Catholic College,Toowoomba Christian College,Highfields State Secondary College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEHAM,Geham State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGLEWOOD,Inglewood State School,St Maria Goretti School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULDERCOMBE,Bouldercombe State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNALDA,Gunalda State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSWICH,Ipswich Central State School,Bremer State High School,Ipswich Special School,St Mary's Primary School,St Mary's College,Ipswich Grammar School,Ipswich Flexible Learning Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERMSIDE WEST,Craigslea State School,Craigslea State High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH IPSWICH,Ipswich North State School,St Joseph's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNNYBANK,Sunnybank State School,Runcorn State School,Sunnybank State High School,Sunnybank Special School,Our Lady of Lourdes Primary School,St Thomas More College,Carinity Education - Southside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISISFORD,Isisford State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONDARYAN,Jondaryan State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGGERA WATERS,Biggera Waters State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKES CREEK,Lakes Creek State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEYBURN,Leyburn State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGAN RESERVE,Logan Reserve State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGANHOLME,Loganholme State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOGGILL,Moggill State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBORNE,Osborne State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT PERRY,Mount Perry State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURPHYS CREEK,Murphy's Creek State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANANGO,Nanango State School,Nanango State High School,St Patrick's Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHERWOOD,Sherwood State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
