WARAKURNA,Ngaanyatjarra Lands School,,,,,,,,,,,,,,
DARKAN,Darkan Primary School,,,,,,,,,,,,,,
SUBIACO,School of Special Education Needs - Medical and Mental Health,Perth Modern School,Subiaco Primary School,,,,,,,,,,,,
COOLBINIA,Sir David Brand School,Coolbinia Primary School,,,,,,,,,,,,,
YANGEBUP,Divine Mercy College,Yangebup Primary School,Mater Christi Catholic Primary School,,,,,,,,,,,,
WILSON,Rehoboth Christian College - Wilson Campus,Wilson Primary School,,,,,,,,,,,,,
BROOME,St Mary's College - Primary Campus,Broome Senior High School,One Arm Point Remote Community School,Cable Beach Primary School,Broome Primary School,Roebuck Primary School,Sacred Heart School,Christ the King Catholic School,St Mary's College,Broome North Primary School,,,,,
TAPPING,St Stephen's School - Carramar Campus,Tapping Primary School,Spring Hill Primary School,,,,,,,,,,,,
VIA NEWMAN,Rawa Community School - Kunawarritji Campus,Jigalong Remote Community School,Rawa Community School,,,,,,,,,,,,
HALLS HEAD,Living Waters Lutheran College - Halls Head Campus,Halls Head College,Glencoe Primary School,Halls Head Primary School,South Halls Head Primary School,Halls Head College Education Support Centre,,,,,,,,,
FLOREAT,Newman College - Brigidine Campus,Churchlands Primary School,Floreat Park Primary School,,,,,,,,,,,,
DALWALLINU,Woodthorpe School - Dalwallinu Campus,Dalwallinu District High School,,,,,,,,,,,,,
GNOWANGERUP,Woodthorpe School - Gnowangerup Campus,Gnowangerup District High School,,,,,,,,,,,,,
MOSMAN PARK,St Hilda's Anglican School for Girls - Chidley Campus,Mosman Park Primary School,Mosman Park School For Deaf Children,Iona Presentation College,Iona Presentation Primary School,St Hilda's Anglican School for Girls,The Beehive Montessori School,,,,,,,,
MALAGA,Alta-1 College - Malaga Campus,,,,,,,,,,,,,,
CANNING VALE,Alta-1 College - Canning Vale Campus,Canning Vale College,Canning Vale Primary School,Ranford Primary School,Campbell Primary School,Excelsior Primary School,Caladenia Primary School,Canning Vale Education Support Centre,St Emilie's Catholic Primary School,,,,,,
JOONDALUP,Alta-1 College - Joondalup Campus,Joondalup Primary School,Joondalup Education Support Centre,Lake Joondalup Baptist College,Alta-1 College - Girls' Campus Joondalup,,,,,,,,,,
MULLALOO,Alta-1 College - Mullaloo Campus,Mullaloo Heights Primary School,Mullaloo Beach Primary School,,,,,,,,,,,,
BANKSIA GROVE,St John Paul II Catholic Primary School,Banksia Grove Primary School,Joseph Banks Secondary College,,,,,,,,,,,,
ALBANY,Albany Senior High School,North Albany Senior High School,Albany Primary School,Mount Lockyer Primary School,Yakamia Primary School,Flinders Park Primary School,Spencer Park Education Support Centre,Albany Secondary Education Support Centre,St Joseph's College,John Calvin School,Bethel Christian School,Parklands School,Australian Christian College - Southlands,Woodthorpe School - Albany Campus,Alta-1 College - Albany Senior School
ARDROSS,Applecross Senior High School,Ardross Primary School,,,,,,,,,,,,,
ARMADALE,Armadale Senior High School,Cecil Andrews College,Armadale Primary School,Kingsley Primary School,Neerigen Brook Primary School,Challis Community Primary School,Gwynne Park Education Support Centre,Armadale Education Support Centre,Gwynne Park Primary School,Pioneer Village School,Dale Christian School,John Calvin Christian College,,,
BALCATTA,Balcatta Senior High School,Balcatta Primary School,Takari Primary School,West Balcatta Primary School,St Lawrence Primary School,,,,,,,,,,
BELMONT,Belmont City College,Belmont Primary School,Alta-1 College - Belmont Campus,,,,,,,,,,,,
BRIDGETOWN,Bridgetown High School,Bridgetown Primary School,St Brigid's School,,,,,,,,,,,,
BUSSELTON,Busselton Senior High School,Busselton Primary School,West Busselton Primary School,Geographe Primary School,Geographe Education Support Centre,St Mary MacKillop College,Cornerstone Christian College,,,,,,,,
CARNARVON,Carnarvon Community College,Carnarvon School Of The Air,St Mary Star of the Sea Catholic School,Carnarvon Christian School,Carnarvon Community College - Marmion Street Campus,Carnarvon Community College - Cleaver Street Campus,Nagle Catholic College,,,,,,,,
CHURCHLANDS,Churchlands Senior High School,Newman College,,,,,,,,,,,,,
COLLIE,Collie Senior High School,Amaroo Primary School,Fairview Primary School,Wilson Park Primary School,St Brigid's School,,,,,,,,,,
MOUNT HELENA,Eastern Hills Senior High School,Mount Helena Primary School,Bible Baptist Christian Academy,,,,,,,,,,,,
ESPERANCE,Esperance Senior High School,Castletown Primary School,Esperance Primary School,Nulsen Primary School,Esperance Senior High School Education Support Centre,Our Lady Star of the Sea Catholic Primary School,Esperance Christian Primary School,Esperance Anglican Community School,,,,,,,
WOODBRIDGE,Governor Stirling Senior High School,Woodbridge Primary School,,,,,,,,,,,,,
HAMILTON HILL,Hamilton Senior High School,East Hamilton Hill Primary School,Southwell Primary School,Phoenix Primary School,Kerry Street Community School,Fremantle Christian College,Port School,,,,,,,,
MORLEY,Hampton Senior High School,John Forrest Secondary College,Hampton Park Primary School,Morley Primary School,Weld Square Primary School,Infant Jesus School,,,,,,,,,
HARVEY,Harvey Senior High School,Harvey Primary School,St Anne's School,,,,,,,,,,,,
FREMANTLE,John Curtin College Of The Arts,East Fremantle Primary School,Fremantle Primary School,Christian Brothers' College,St Patrick's Primary School,Lance Holt School,St Patrick's Primary School - Maristella Campus,,,,,,,,
KALAMUNDA,Kalamunda Senior High School,Kalamunda Primary School,Kalamunda Primary Education Support Centre,Kalamunda Senior High School Education Support Centre,,,,,,,,,,,
KATANNING,Katanning Senior High School,Katanning Primary School,Braeside Primary School,St Patrick's School,,,,,,,,,,,
EAST VICTORIA PARK,Kent Street Senior High School,Millen Primary School,East Victoria Park Primary School,Carson Street School,East Victoria Park Education Support Centre,,,,,,,,,,
ORELIA,Gilmore College,Orelia Primary School,,,,,,,,,,,,,
MANJIMUP,Manjimup Senior High School,Manjimup Primary School,East Manjimup Primary School,Manjimup Education Support Centre,Kearnan College,,,,,,,,,,
