POSTCODE,SUBURB 1,SUBURB 2,SUBURB 3,SUBURB 4,SUBURB 5,SUBURB 6,SUBURB 7,SUBURB 8,SUBURB 9,SUBURB 10,SUBURB 11,SUBURB 12,SUBURB 13,SUBURB 14,SUBURB 15,SUBURB 16,SUBURB 17,SUBURB 18,SUBURB 19,SUBURB 20,SUBURB 21,SUBURB 22,SUBURB 23,SUBURB 24,SUBURB 25,SUBURB 26,SUBURB 27,SUBURB 28,SUBURB 29,SUBURB 30,SUBURB 31,SUBURB 32,SUBURB 33,SUBURB 34,SUBURB 35,SUBURB 36,SUBURB 37,SUBURB 38,SUBURB 39,SUBURB 40,SUBURB 41,SUBURB 42,SUBURB 43,SUBURB 44,SUBURB 45,SUBURB 46
0871,WARAKURNA,SADADEEN,ALICE SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0872,SANDOVER,IMANPA,KALTUKATJARA,KINTORE,AMATA,GHAN,INDULKANA,FREGON,PIPALYATJARA,MIMILI,KENMORE PARK,MURPUTJA,ALI CURUNG,YUENDUMU,ENGAWALA,AMPILATWATJA,AREYONGA,ANATYE,BAINES,CANTEEN CREEK,WUTUNUGURRA,FINKE,HAASTS BLUFF,ATITJERE,LARAMBA,PETERMANN,PAPUNYA,YUELAMU,MUTITJULU,BARROW CREEK,HERMANNSBURG,NYIRRIPI,WILORA,TI TREE,TITJIKALA,WALLACE ROCKHOLE,MOUNT LIEBIG,WILLOWRA,YULARA,TIMBER CREEK,SANTA TERESA,ALICE SPRINGS,WARBURTON RANGES,KIWIRRKURRA,NGAANYATJARRA SHIRE,VIA LAVERTON
0873,AMOONGUNA,ROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0880,NHULUNBUY,GAPUWIYAK,YIRRKALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0881,NHULUNBUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0885,ALYANGULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0886,JABIRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,SYDNEY,MILLERS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,SYDNEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,ULTIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CHIPPENDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,SURRY HILLS,DARLINGHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
